 [-1.50981866e-02  4.25129327e+00]
 [-1.50986002e-02  4.26605471e+00]
 [-1.50981527e-02  4.28081614e+00]
 [-1.50992832e-02  4.29557758e+00]
 [-1.51004772e-02  4.31033901e+00]
 [-1.51000213e-02  4.32510045e+00]
 [-1.51015839e-02  4.33986188e+00]
 [-1.51025839e-02  4.35462332e+00]
 [-1.51041737e-02  4.36938475e+00]
 [-1.51054510e-02  4.38414619e+00]
 [-1.51070289e-02  4.39890762e+00]
 [-1.51084564e-02  4.41366906e+00]
 [-1.51099966e-02  4.42843049e+00]
 [-1.51115065e-02  4.44319193e+00]
 [-1.51129908e-02  4.45795336e+00]
 [-1.51145965e-02  4.47271480e+00]
 [-1.51161853e-02  4.48747623e+00]
 [-1.51177149e-02  4.50223767e+00]
 [-1.51188970e-02  4.51699910e+00]
 [-1.51208004e-02  4.53176054e+00]
 [-1.51219341e-02  4.54652197e+00]
 [-1.51237986e-02  4.56128341e+00]
 [-1.51257853e-02  4.57604484e+00]
 [-1.51248310e-02  4.59080628e+00]
 [-1.51282071e-02  4.60556771e+00]
 [-1.51307479e-02  4.62032915e+00]
 [-1.51314694e-02  4.63509058e+00]
 [-1.51335597e-02  4.64985202e+00]
 [-1.51347691e-02  4.66461345e+00]
 [-1.51361880e-02  4.67937489e+00]
 [-1.51377837e-02  4.69413632e+00]
 [-1.51394401e-02  4.70889776e+00]
 [-1.51408758e-02  4.72365919e+00]
 [-1.51425572e-02  4.73842063e+00]
 [-1.51438879e-02  4.75318206e+00]
 [-1.51453970e-02  4.76794350e+00]
 [-1.51468416e-02  4.78270493e+00]
 [-1.51483580e-02  4.79746637e+00]
 [-1.51497497e-02  4.81222780e+00]
 [-1.51513305e-02  4.82698924e+00]
 [-1.51526289e-02  4.84175067e+00]
 [-1.51538086e-02  4.85651211e+00]
 [-1.51549528e-02  4.87127354e+00]
 [-1.51526445e-02  4.88603498e+00]
 [-1.51458308e-02  4.90079641e+00]
 [-1.51346785e-02  4.91555785e+00]
 [-1.51193546e-02  4.93031928e+00]
 [-1.51000260e-02  4.94508072e+00]
 [-1.50768594e-02  4.95984215e+00]
 [-1.50500217e-02  4.97460359e+00]
 [-1.50196799e-02  4.98936502e+00]
 [-1.49860007e-02  5.00412646e+00]
 [-1.49491511e-02  5.01888789e+00]
 [-1.49092979e-02  5.03364933e+00]
 [-1.48666079e-02  5.04841076e+00]
 [-1.48212481e-02  5.06317220e+00]
 [-1.47733853e-02  5.07793363e+00]
 [-1.47231864e-02  5.09269507e+00]
 [-1.46708182e-02  5.10745650e+00]
 [-1.46164477e-02  5.12221794e+00]
 [-1.45602416e-02  5.13697937e+00]
 [-1.45023668e-02  5.15174081e+00]
 [-1.44429902e-02  5.16650224e+00]
 [-1.43822787e-02  5.18126368e+00]
 [-1.43203992e-02  5.19602511e+00]
 [-1.42575184e-02  5.21078655e+00]
 [-1.41938033e-02  5.22554798e+00]
 [-1.41294208e-02  5.24030942e+00]
 [-1.40645376e-02  5.25507085e+00]
 [-1.39993207e-02  5.26983229e+00]
 [-1.39339370e-02  5.28459372e+00]
 [-1.38685533e-02  5.29935516e+00]
 [-1.38033364e-02  5.31411659e+00]
 [-1.37384532e-02  5.32887803e+00]
 [-1.36740707e-02  5.34363946e+00]
 [-1.36103556e-02  5.35840090e+00]
 [-1.35474748e-02  5.37316233e+00]
 [-1.34855953e-02  5.38792377e+00]
 [-1.34248838e-02  5.40268520e+00]
 [-1.33655072e-02  5.41744664e+00]
 [-1.33076324e-02  5.43220807e+00]
 [-1.32514263e-02  5.44696951e+00]
 [-1.31970558e-02  5.46173094e+00]
 [-1.31446876e-02  5.47649238e+00]
 [-1.30944887e-02  5.49125381e+00]
 [-1.30466259e-02  5.50601525e+00]
 [-1.30012661e-02  5.52077668e+00]
 [-1.29585761e-02  5.53553812e+00]
 [-1.29187229e-02  5.55029955e+00]
 [-1.28818733e-02  5.56506099e+00]
 [-1.28481941e-02  5.57982242e+00]
 [-1.28178523e-02  5.59458386e+00]
 [-1.27910146e-02  5.60934529e+00]
 [-1.27678480e-02  5.62410673e+00]
 [-1.27485194e-02  5.63886816e+00]
 [-1.27331955e-02  5.65362960e+00]
 [-1.27220432e-02  5.66839103e+00]
 [-1.27152295e-02  5.68315247e+00]
 [-1.27129212e-02  5.69791390e+00]
 [-1.22437848e-02  5.71267534e+00]
 [-1.22305279e-02  5.72743677e+00]
 [-1.22174676e-02  5.74219821e+00]
 [-1.22053255e-02  5.75695964e+00]
 [-1.21937813e-02  5.77172108e+00]
 [-1.21844591e-02  5.78648251e+00]
 [-1.21755209e-02  5.80124395e+00]
 [-1.21687877e-02  5.81600538e+00]
 [-1.21623881e-02  5.83076682e+00]
 [-1.21553298e-02  5.84552825e+00]
 [-1.21485161e-02  5.86028969e+00]
 [-1.21435085e-02  5.87505112e+00]
 [-1.21387429e-02  5.88981256e+00]
 [-1.21325714e-02  5.90457399e+00]
 [-1.21288249e-02  5.91933543e+00]
 [-1.21247255e-02  5.93409686e+00]
 [-1.21206319e-02  5.94885830e+00]
 [-1.21170142e-02  5.96361973e+00]
 [-1.21134652e-02  5.97838117e+00]
 [-1.21102521e-02  5.99314260e+00]
 [-1.21071085e-02  6.00790404e+00]
 [-1.21038220e-02  6.02266547e+00]
 [-1.21014453e-02  6.03742691e+00]
 [-1.20991848e-02  6.05218834e+00]
 [-1.20965356e-02  6.06694978e+00]
 [-1.20946477e-02  6.08171121e+00]
 [-1.20918261e-02  6.09647265e+00]
 [-1.20903148e-02  6.11123408e+00]
 [-1.20885531e-02  6.12599552e+00]
 [-1.20842601e-02  6.14075695e+00]
 [-1.20834377e-02  6.15551839e+00]
 [-1.20819490e-02  6.17027982e+00]
 [-1.20790783e-02  6.18504126e+00]
 [-1.20771182e-02  6.19980269e+00]
 [-1.20744676e-02  6.21456413e+00]
 [-1.20721696e-02  6.22932556e+00]
 [-1.20697170e-02  6.24408700e+00]
 [-1.20664280e-02  6.25884843e+00]
 [-1.20645917e-02  6.27360987e+00]
 [-1.20628214e-02  6.28837130e+00]
 [-1.20599372e-02  6.30313274e+00]
 [-1.20576809e-02  6.31789417e+00]
 [-1.20549710e-02  6.33265561e+00]
 [-1.20522375e-02  6.34741704e+00]
 [-1.20497010e-02  6.36217848e+00]
 [-1.20472934e-02  6.37693991e+00]
 [-1.20445664e-02  6.39170135e+00]
 [-1.20419655e-02  6.40646278e+00]
 [-1.20391951e-02  6.42122422e+00]
 [-1.20363847e-02  6.43598565e+00]
 [-1.20332939e-02  6.45074709e+00]
 [-1.20304859e-02  6.46550852e+00]
 [-1.20275018e-02  6.48026996e+00]
 [-1.20243279e-02  6.49503139e+00]
 [-1.20214840e-02  6.50979283e+00]
 [-1.20172757e-02  6.52455426e+00]
 [-1.20135649e-02  6.53931570e+00]
 [-1.20097563e-02  6.55407713e+00]
 [-1.20016695e-02  6.56883857e+00]
 [-1.19998877e-02  6.58360000e+00]
 [-1.19962979e-02  6.59836144e+00]
 [-1.19904949e-02  6.61312287e+00]
 [-1.19862682e-02  6.62788431e+00]
 [-1.19806865e-02  6.64264574e+00]
 [-1.19747958e-02  6.65740718e+00]
 [-1.19699301e-02  6.67216861e+00]
 [-1.19656879e-02  6.68693005e+00]
